CREDIT:, North London Waste Authority, https://www.nlwa.gov.uk/our-office, By: Abdul
Aerosol,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/aerosol,"spray cans, body sprays, spray deodorant","As long as they are fully empty, these can be recycled at home."
Aftershave bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/aftershave-bottles,aftershave bottles,All colours of glass can be recycled at home. Please just ensure that bottles are empty.
Aluminium cans,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/aluminium-cans,aluminium cans,These can be recycled at home. Please empty and rinse but do not crush or flatten cans.
Aluminium foil,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/aluminium-foil,"Tin foil, foil",Items such as clean food trays and foil wrapping on biscuits can be recycled in your mixed recycling bin at home. Please make sure that these items don't contain any grease or food residue. You can also recycle clean foil at your local reuse and recycling centre.
Animal Bedding,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/animal-bedding,animal bedding,"Fabric used for pet bedding or padded animal beds need to be put in your general waste. Pet bedding such as sawdust and chippings also need to be put in your general waste bin and not in the garden or kitchen waste. This is because they contain urine and faeces and do not meet the acceptance criteria for our composting facilities. Alternatively, you could put the bedding into your own home composting bin. Residents who wish to compost it at home should remove faeces (to prevent disease) and only add small quantities to ensure there’s a good carbon/nitrogen balance."
Anti-freeze bottle,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/anti-freeze-bottle,Anti-freeze bottle,"If the bottle is empty, it can be recycled at home. Plastic bottles containing strong chemicals that are highly poisonous and hazardous to staff and can damage the recycling equipment. Check the bottle for disposal instructions."
Asbestos,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/asbestos,asbestos,"Asbestos is a toxic material that was once used to make insulation and fireproofing material in construction, it is classed as hazardous waste. Household asbestos can be dropped off by appointment only to our .You can also arrange for a free collection by the City of London Hazardous Waste Service.Hornsey Street Reuse and Recycling Centre wrapped up in heavy duty plastic wrapping (household rubble sacks that can be bought from supermarkets). We do not accept unwrapped asbestos. Call 020 8884 5645 to make an appointment. Site staff will need to know how much asbestos you need to dispose of and check that there is enough space in the asbestos container."
Ash,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/ash,ash,"Small amounts of cold ash or cinders from an open fire can help to keep slugs and snails off your vegetable patch. Once cooled, you can also put small amounts into your general waste bin at home. Never put hot ashes into a bin."
Baby food jars,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/baby-food-jars,baby food jars,All colours of glass can be recycled at home. Please just empty and rinse.
Baby items,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/baby-items,baby items,"If they're in good condition, baby items could be sold online, taken to a charity shop or given away on Freecycle or Freegle. If broken or not in good condition, they can be disposed of in your general waste bin."
